,2,4,6,8,10
1,0.0166647146533,0.0367219138989,0.254283220592,1.38223584314,3.28491300128
10,0.0161126049199,0.0169266024417,,,
12,,,,0.0141528341352,
15,,,0.0108167378845,,0.00550808644161
16,0.0139344065511,,,,
2,0.0734163622629,0.0186939525072,,,
20,,0.0248227266225,,0.0137176624336,
24,,,0.0180973447621,,
25,,,,,0.00527321099472
3,,,0.180434038601,,
32,,0.0234280885992,,0.0072804568047,
4,,,,0.298287786478,
40,,,,,0.00405461257645
42,,,0.0132975745998,,
5,,,,,0.334479845877
56,,,,0.0105116132692,
6,0.0228075662367,0.0292993619501,,,
70,,,,,0.0057851003079
9,,,0.0240819668645,,
